Rank,City,Median
1,San Antonio,$27122
2,Pittsburgh,$26403
3,Austin Texas,$26164
4,Houston,$25978
5,Jacksonville Fla.,$25947
6,Dallas,$25939
7,Washington,$25810
8,Virginia Beach Va.,$25591
9,Oklahoma City,$25351
10,Columbus Ohio,$25129
11,Birmingham Ala.,$25014
12,Phoenix,$24954
13,Buffalo N.Y.,$24828
14,Atlanta,$24775
15,Kansas City Mo.,$24501
16,Denver,$24477
17,Indianapolis,$24353
18,Charlotte N.C.,$24349
19,St. Louis,$24279
20,Tampa Fla.,$23820
21,Cincinnati,$23808
22,Nashville Tenn.,$23429
23,Hartford Conn.,$23388
24,Milwaukee,$23376
25,Las Vegas,$23139
26,Baltimore,$23096
27,Boston,$23084
28,Philadelphia,$23075
29,Minneapolis,$22974
30,Chicago,$22784
31,Memphis Tenn.,$22528
32,New Orleans,$22265
33,Richmond Va.,$22239
34,Raleigh N.C.,$22054
35,Cleveland,$21911
36,Orlando Fla.,$21882
37,Riverside Calif.,$21305
38,Seattle,$21156
39,Portland Ore.,$21142
40,San Francisco,$20800
41,San Diego,$20751
42,Miami,$20715
43,Louisville Ky.,$20643
44,Providence R.I.,$20505
45,Salt Lake City,$20412
46,Detroit,$19978
47,New York,$19631
48,Los Angeles,$19299
49,Sacramento Calif.,$18691
50,San Jose Calif.,$18376
Rank,Metro,Median Balance
